spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Dipsastraea pallida,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,pallida,Favia,"(Dana, 1846)",Knob coral,No,No,No,No,LC,-,VU,1977 (Chuang),2020 (Kikuzawa et al),17,10,30,-89.41060904,-0.15494,0.038316,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, HP-E, KU-NE, RL-W, SE-NW, SE-SW, SJ-NW, SS-N, SS-S, TM-S",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",X,,X,X,X,"Population decline significant

Common at many sites. 

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Chuang 1977; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly)"
Dipsastraea rotumana,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,rotumana,Favia,"(Gardiner, 1899)",,No,No,No,No,LC,-,DD,2009 (as Favia rotumana; Huang et al),2009 (as Favia rotumana; Huang et al),2,10,30,-100,-0.0034,0.226111,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Huang et al 2009

Huang et al 2009b (pervasive paraphyly)"
Dipsastraea speciosa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,speciosa,Favia,"(Dana, 1846)",,No,No,No,No,LC,-,LC,1881 (as Favia speciosa; Studer),2021 (Lee et al),23,10,30,206.2650602,0.266706,6.04E-10,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"X (Ng et al, ex situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983;  Chou & Wong 1986; Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020; Lee et al 2021

Todd et al. 2013 (colour changes); Huang et al 2009b (pervasive paraphyly); Todd et al 2001 (morphological variation); Todd et al 2002a, 2002b (plastic corals); Todd et al 2004a, 2004b, 2004c (flesh or bone; aquarium expt; genotype x envir); Ng et al 2012 (ex situ coral nursery)"
Dipsastraea veroni,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,veroni,Favia,"(Moll & Best, 1984) ",,No,No,No,No,NT,-,DD,1995 (as Favia veroni; Loo & Chou),2009 (as Favia veroni; Huang et al),3,10,30,-100,-0.00163,0.235423,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Ang 2007; Huang et al 2009
Echinopora gemmacea,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,gemmacea,Echinopora,"(Lamarck, 1816)",Hedgehog coral,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2020 (Ng et al),9,10,30,5450.909091,0.395929,9.54E-10,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,"CY-S, HA-W, HP-E, JO-S, KU-NE, LZ-E, PSD-NW, PSD-SW, PSL-SE, RL-W, SJ-NW, TPT-SW",X (SIMP),"
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020

Huang et al 2009b (pervasive paraphyly); Chou et al 2018 (relevance of reef restoration)"
Echinopora hirsutissima,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,hirsutissima,Echinopora,"Milne Edwards & Haime, 1849",Prickly-pored coral,No,No,No,No,LC,-,DD,1995 (Loo & Chou),2009 (Huang et al),3,10,30,-100,-0.0617,0.020991,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies braching, foliose, encrusting. 
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Ang 2007; Huang et al 2009
Echinopora horrida,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,horrida,Echinopora,"Dana, 1846",Hedgehog coral,No,No,No,No,NT,-,LC,"
1878 (Brüggemann)",2018 (Wong et al),7,10,30,148.2591093,0.037097,0.153627,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies branching.
Hermaphroditic broadcaster.","PSD-NW, SE-SW, SS-S, TPT-SW",,X (SIMP),,,,,,,,,,"Not found at many sites. Population decline not documented.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Brüggemann 1878; Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; BioBlitz_SIMP2017; Wong et al 2018
"
Echinopora lamellosa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,lamellosa,Echinopora,"(Esper, 1795)",Blue chalice coral,No,No,No,No,LC,-,LC,1881 (as Echinopora flexuosa & E. reflexa; Studer),2020 (Kikuzawa et al),28,10,30,-1.812536387,0.083062,0.459914,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-W, HP-E, JO-S, KU-NE, LZ-E, PSD-NW, PSD-SW, PSL-SE, RL-W, SJ-NW, SJ-S, SS-S, TKK-W, TM-E, TPT-SW",X (SIMP),"X (Taira et al (b), in situ nursery)
X (Toh et al (b), in situ nursery & subtidal seawall transplant)
X (Chou et al, reef & subtidal seawall transplant)
X (Chou et al, in situ nursery)
X (Wee et al, in situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Studer 1881; Purchon 1956; Chuang 1961;  Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly); Taira et al 2017b (juv. butterflyfishes inhabiting nursery); Toh et al 2017b (cost-effective seawall biodiversity enhancement); Chou et al 2017 (effectiveness of reef restoration); Afiq-Rosli et al 2019 (maximising genetic diversity); Chou et al 2019a (re-fragmentation); Ng et al 2019b (skeletal density); Wee et al 2019 (epifauna)"
Echinopora pacifica,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Echinopora,pacifica,Echinopora,"Veron, 1990",Hedgehog coral,No,No,No,No,NT,-,DD,2009 (as Echinopora pacificus; Huang et al),2018 (Wong et al),3,10,30,,0.024467,0.007652,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose.
Hermaphroditic broadcaster.","HA-W, PSD-NW, RL-W",,,,,,X (Raffles),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Huang et al 2009; Wong et al 2018

Huang et al 2009b (pervasive paraphyly)"
Favites abdita,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,abdita,Favites,"(Ellis & Solander, 1786)",Large star coral,No,No,No,No,NT,-,LC,"1881 (as Prionastraea abdita, P. magnifica & P. robusta; Studer)",2021 (Lee et al),25,10,30,8.059259259,0.021447,0.570955,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, HP-E, JO-S, KU-NE, LA-S, LZ-E, PSD-NW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SS-N, SS-S, TM-E, TM-S, TPT-SW",X (SIMP),"X (Ng et al, ex situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Ng et al 2012 (ex situ coral nursery); Teo et al. 2016 (quantification of coral sperm); "
Favites chinensis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,chinensis,Favites,"(Verrill, 1866)",,No,No,No,No,NT,-,LC,1986 (Chou & Wong),2021 (Lee et al),12,10,30,196.0199005,0.041375,0.008245,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, JO-S, LA-S, PSD-NW, PSL-SE, RL-W, SE-NW, SS-N, TKK-W, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Chou & Wong 1986; Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Teo et al. 2016 (quantification of coral sperm)"
Favites colemani,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,colemani,Montastraea,"(Veron, 2000)",,No,No,No,No,NT,-,DD,2009 (as Montastrea colemani; Huang et al),2009 (Huang et al),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting. 
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009
Favites complanata,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,complanata,Favites,"(Ehrenberg, 1834)",Large star coral,No,No,No,No,NT,-,LC,"1985 (ZRC, 19850721)",2021 (Lee et al),12,10,30,370.1886792,0.034003,0.012435,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, JO-S, KU-NE, PSD-NW, PSL-SE, RL-W, SE-SW, SJ-NW, SS-N",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly)"
Favites flexuosa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,flexuosa,Favites,"(Dana, 1846)",,No,No,No,No,NT,-,VU,1986 (REST Survey),2020 (Ng et al),7,10,30,-87.29264476,-0.04726,0.011445,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.","KU-NE, PSL-SE, RL-W",,X (SIMP),,,,"X (Raffles)
X (SultanShoal)",X,,X,,X,"Population decline significant.
Not found at many sites.

Also documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Chow et al 2019; Ng et al 2020

Huang et al 2009b (pervasive paraphyly)"
Favites halicora,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,halicora,Favites,"(Ehrenberg, 1834)",,No,No,No,No,NT,-,LC,"1985 (ZRC, 19850706)",2020 (Ng et al),12,10,30,345.6338028,0.034301,2.83E-05,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",,"HA-W, HP-E, PSD-NW, PSL-SE, RL-W, SE-SW, SJ-NW, SS-S, TM-S",X (SIMP),"X (Chou et al, subtidal seawall transplant)
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020

Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration)"
Favites magnistellata,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,magnistellata,Montastraea,"(Milne Edwards & Haime, 1849)",,No,No,No,No,NT,-,NT,"1986 (ZRC, 19860509)",2017 (REL Collections),5,10,30,-34.37,-0.00084,0.777195,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.","PSD-NW,TPT-SW",,X (SIMP),,,,X (Raffles),X,,,,X,"Not found at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009

Huang et al 2009b (pervasive paraphyly)"
Favites paraflexuosus,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,paraflexuosus,Favites,"Veron, 2000",,No,No,No,No,NT,-,DD,2009 (as Favites paraflexuosa; Huang et al),2020 (Ng et al),3,10,30,,0.000935,0.657715,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",JO-S,,X (SIMP),,,,X (SultanShoal),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Huang et al 2009; Wong et al 2018; Ng et al 2020
Favites pentagona,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,pentagona,Favites,"(Esper, 1795)",,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2021 (Lee et al),12,10,30,900.8645533,0.288236,5.50E-12,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-SE, HA-W, HP-W, JO-S, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"X (Chou et al, subtidal seawall transplant)
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020; Lee et al 2021

Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration); Ng et al 2019b (skeletal density)"
Favites rotundata,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,rotundata,Favia,"Veron, Pichon & Wijsman-Best, 1977",,No,No,No,No,NT,-,DD,1995 (as Favia rotundata; Loo & Chou),2020 (Ng et al),4,10,30,-100,-0.00104,0.231439,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,,,,,"X (Raffles)
X (SultanShoal)",,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Ang 2007; Huang et al 2009; Ng et al 2020
Favites valenciennesi,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Favites,valenciennesi,Montastraea,"(Milne Edwards & Haime, 1849) ",,No,No,No,No,NT,-,LC,1977 (Chuang),2021 (Lee et al),11,10,30,282.1052632,0.103798,0.006147,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",,"CY-S, HA-NE, HA-SE, HA-W, HP-W, JO-S, KU-NE, LA-S, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"As Favia valenciennesi:
Chuang 1977

As Montastrea valenciennesi:
Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009

As Favites valenciennesi: 
BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly)"
Goniastrea edwardsi,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Goniastrea,edwardsi,Goniastrea,"Chevalier, 1971",,No,No,No,No,LC,-,LC,1881 (as Goniastraea capitata; Studer),2019 (Chow et al),11,10,30,-23.8267148,9.72E-03,4.51E-01,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",,"JO-S, PSD-NW, RL-W, SS-S, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Common at many sites. Population decline not observed.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019

Huang et al 2009b (pervasive paraphyly); Leveque et al 2019 (Symbiodiniaceae communities in merulinids)"
Goniastrea favulus,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Goniastrea,favulus,Goniastrea,"(Dana, 1846)",,No,No,No,No,NT,-,LC,1995 (Loo & Chou),2020 (Ng et al),7,10,30,-35.86046512,-0.00066,0.983292,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",,"HA-NE, HA-W, HP-E, JO-S, KUE-NE, LZ-E, PSD-NW, PSL-SE, RL-W, SE-NW",,,,,"X (Raffles)
X (SultanShoal)",,,,,,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,"Loo & Chou 1995; Ang 2007; Huang et al 2009; Wong et al 2018; Chow et al 2019; Ng et al 2020

Huang et al 2009b (pervasive paraphyly)"
Goniastrea minuta,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Goniastrea,minuta,Goniastrea,"Veron, 2000",,No,No,No,No,NT,-,DD,2005 (Guest et al (b)),2015 (Ng et al),4,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive.
Hermaphroditic broadcaster.",,,,"X (Ng et al, ex situ nursery)
X (Ng et al, ex situ nursery & intertidal seawall transplant)",,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Guest et al 2005b; Huang et al 2009

Ng et al 2012 (ex situ coral nursery); Ng et al 2015 (enhancing seawall biodiversity)"
Goniastrea pectinata,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Goniastrea,pectinata,Goniastrea,"(Ehrenberg, 1834) ",,No,No,No,No,LC,-,LC,1956 (Purchon),2020 (Kikuzawa et al),22,10,30,267.6559287,1.107194,2.41E-27,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting. 
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-S, TM-E, TM-S, TPT-SW",X (SIMP),"X (Ng et al, ex situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly); Ow & Todd 2010 (plasticity); Ng et al 2012 (ex situ coral nursery); Leveque et al 2019 (Symbiodiniaceae communities in merulinids)"
Goniastrea retiformis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Goniastrea,retiformis,Goniastrea,"(Lamarck, 1816)",,No,No,No,No,LC,-,LC,1961 (Chuang),2021 (Lee et al),20,10,30,-54.72027972,-0.01159,0.648014,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.","HA-W, JO-S, PSL-SE, RL-W",,X (SIMP),"X (Chou et al, subtidal seawall transplant)
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",Also documented on reef flats (Lee et al 2021),"Chuang 1961; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly); Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration); Leveque et al 2019 (Symbiodiniaceae communities in merulinids); Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Goniastrea stelligera,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Goniastrea,stelligera,Favia,"(Dana, 1846) ",,No,No,No,No,NT,-,DD,"1985 (ZRC, 19850715)",2009 (Huang),4,10,30,-100,-0.0007,0.467971,,,,,,X,X,X,,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009
Hydnophora exesa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Hydnophora,exesa,Hydnophora,"(Pallas, 1766)",,No,No,No,No,NT,-,LC,1881 (Studer),2020 (Kikuzawa et al),14,10,30,42.02061856,0.060311,0.377425,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, branching, foliose, encrusting. Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-E, LZ-SW, PSD-NW, PSL-SE, RL-W, SJ-NW, TKK-W, TM-S, TPT-SW",X (SIMP),"X (Ng et al, ex situ nursery)
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Studer 1881; Purchon 1956; Chuang 1961; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020

Ng et al 2012 (ex situ coral nursery); Chou et al 2018 (relevance of reef restoration)"
